Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,5200.000000,5200.000000,5200.000000,5200.000000,4629.853516,0
2019-01-02,5200.000000,5245.000000,5200.000000,5240.000000,4665.467773,35956000
2019-01-03,5200.000000,5220.000000,5115.000000,5180.000000,4612.046387,72358000
2019-01-04,5175.000000,5205.000000,5125.000000,5205.000000,4634.306641,51465000
2019-01-07,5265.000000,5325.000000,5245.000000,5245.000000,4669.919922,73438000
2019-01-08,5230.000000,5320.000000,5205.000000,5240.000000,4665.467773,66247500
2019-01-09,5300.000000,5320.000000,5225.000000,5255.000000,4678.824707,84871000
2019-01-10,5300.000000,5300.000000,5190.000000,5255.000000,4678.824707,114314500
2019-01-11,5280.000000,5300.000000,5235.000000,5250.000000,4674.371582,84826500
2019-01-14,5220.000000,5235.000000,5150.000000,5200.000000,4629.853516,87547500
2019-01-15,5230.000000,5260.000000,5190.000000,5260.000000,4683.275391,87763000
2019-01-16,5260.000000,5285.000000,5245.000000,5285.000000,4705.534668,94972500
2019-01-17,5290.000000,5330.000000,5285.000000,5330.000000,4745.600098,91654000
2019-01-18,5340.000000,5425.000000,5315.000000,5425.000000,4830.184570,100873500
2019-01-21,5425.000000,5600.000000,5390.000000,5545.000000,4937.026855,87118000
2019-01-22,5600.000000,5620.000000,5450.000000,5600.000000,4985.996582,91907000
2019-01-23,5600.000000,5600.000000,5475.000000,5500.000000,4896.960449,98512500
2019-01-24,5430.000000,5485.000000,5355.000000,5460.000000,4861.346191,106781000
2019-01-25,5400.000000,5520.000000,5400.000000,5500.000000,4896.960449,68944000
2019-01-28,5515.000000,5515.000000,5475.000000,5495.000000,4892.508789,69704000
2019-01-29,5445.000000,5550.000000,5440.000000,5540.000000,4932.575195,77679000
2019-01-30,5560.000000,5560.000000,5495.000000,5520.000000,4914.767578,76285000
2019-01-31,5520.000000,5640.000000,5520.000000,5635.000000,5017.159180,135904500
2019-02-01,5680.000000,5750.000000,5560.000000,5635.000000,5017.159180,57719500
2019-02-04,5635.000000,5635.000000,5500.000000,5500.000000,4896.960449,113846500
2019-02-05,5500.000000,5500.000000,5500.000000,5500.000000,4896.960449,0
2019-02-06,5500.000000,5540.000000,5495.000000,5535.000000,4928.123535,121996500
2019-02-07,5535.000000,5535.000000,5505.000000,5530.000000,4923.672363,63697500
2019-02-08,5530.000000,5535.000000,5500.000000,5520.000000,4914.767578,65268500
2019-02-11,5520.000000,5530.000000,5460.000000,5495.000000,4892.508789,37639000
2019-02-12,5530.000000,5530.000000,5450.000000,5460.000000,4861.346191,95883500
2019-02-13,5460.000000,5490.000000,5410.000000,5420.000000,4825.732422,103115500
2019-02-14,5405.000000,5405.000000,5380.000000,5380.000000,4790.118164,108738500
2019-02-15,5360.000000,5410.000000,5335.000000,5360.000000,4772.310547,81340000
2019-02-18,5410.000000,5500.000000,5410.000000,5480.000000,4879.154297,62991000
2019-02-19,5420.000000,5480.000000,5380.000000,5380.000000,4790.118164,64469000
2019-02-20,5450.000000,5595.000000,5440.000000,5500.000000,4896.960449,89583000
2019-02-21,5540.000000,5560.000000,5470.000000,5505.000000,4901.413574,54561500
2019-02-22,5475.000000,5525.000000,5460.000000,5490.000000,4888.057617,48271500
2019-02-25,5490.000000,5500.000000,5455.000000,5490.000000,4888.057617,47887000
2019-02-26,5500.000000,5555.000000,5495.000000,5555.000000,4945.930664,98446000
2019-02-27,5565.000000,5570.000000,5545.000000,5565.000000,4954.834473,78519500
2019-02-28,5570.000000,5580.000000,5510.000000,5515.000000,4910.315918,99366000
2019-03-01,5565.000000,5600.000000,5535.000000,5540.000000,4932.575195,72589500
2019-03-04,5520.000000,5540.000000,5515.000000,5535.000000,4928.123535,63910500
2019-03-05,5500.000000,5505.000000,5440.000000,5495.000000,4892.508789,46499500
2019-03-06,5555.000000,5555.000000,5490.000000,5490.000000,4888.057617,37777000
2019-03-07,5490.000000,5490.000000,5490.000000,5490.000000,4888.057617,0
2019-03-08,5545.000000,5570.000000,5440.000000,5440.000000,4843.539063,61126000
2019-03-11,5530.000000,5530.000000,5460.000000,5505.000000,4901.413574,32469000
2019-03-12,5540.000000,5540.000000,5450.000000,5500.000000,4896.960449,40178500
2019-03-13,5450.000000,5505.000000,5450.000000,5500.000000,4896.960449,17722000
2019-03-14,5450.000000,5495.000000,5450.000000,5480.000000,4879.154297,41096000
2019-03-15,5520.000000,5545.000000,5485.000000,5540.000000,4932.575195,41759500
2019-03-18,5555.000000,5560.000000,5535.000000,5550.000000,4941.479004,42791000
2019-03-19,5540.000000,5545.000000,5485.000000,5490.000000,4888.057617,51527000
2019-03-20,5540.000000,5555.000000,5465.000000,5470.000000,4870.250000,42388500
2019-03-21,5490.000000,5520.000000,5465.000000,5475.000000,4874.701660,39866000
2019-03-22,5465.000000,5500.000000,5465.000000,5485.000000,4883.606445,29601000
2019-03-25,5440.000000,5500.000000,5440.000000,5455.000000,4856.894531,23054500
2019-03-26,5480.000000,5510.000000,5455.000000,5470.000000,4870.250000,19895500
2019-03-27,5510.000000,5510.000000,5460.000000,5485.000000,4883.606445,17804500
2019-03-28,5460.000000,5485.000000,5425.000000,5470.000000,4870.250000,32187500
2019-03-29,5515.000000,5530.000000,5460.000000,5510.000000,4905.864746,36234000
2019-04-01,5550.000000,5550.000000,5480.000000,5500.000000,4896.960449,21786000
2019-04-02,5530.000000,5570.000000,5480.000000,5500.000000,4896.960449,36853000
2019-04-03,5500.000000,5500.000000,5500.000000,5500.000000,4896.960449,0
2019-04-04,5540.000000,5560.000000,5490.000000,5540.000000,4932.575195,48112000
2019-04-05,5560.000000,5560.000000,5525.000000,5530.000000,4923.672363,21913500
2019-04-08,5505.000000,5540.000000,5450.000000,5480.000000,4879.154297,39910000
2019-04-09,5535.000000,5550.000000,5515.000000,5535.000000,4928.123535,29447000
2019-04-10,5550.000000,5555.000000,5515.000000,5525.000000,4919.220703,19508500
2019-04-11,5560.000000,5560.000000,5480.000000,5480.000000,4879.154297,25356000
2019-04-12,5460.000000,5510.000000,5460.000000,5500.000000,4896.960449,18577000
2019-04-15,5560.000000,5570.000000,5490.000000,5505.000000,4901.413574,68152000
2019-04-16,5495.000000,5505.000000,5475.000000,5495.000000,4892.508789,71017000
2019-04-17,5495.000000,5495.000000,5495.000000,5495.000000,4892.508789,0
2019-04-18,5600.000000,5805.000000,5580.000000,5625.000000,5008.255371,129332500
2019-04-19,5625.000000,5625.000000,5625.000000,5625.000000,5008.255371,0
2019-04-22,5625.000000,5680.000000,5585.000000,5625.000000,5008.255371,62837500
2019-04-23,5680.000000,5710.000000,5595.000000,5630.000000,5012.707031,48654000
2019-04-24,5640.000000,5640.000000,5600.000000,5630.000000,5058.530273,46975000
